PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
17226 CultureBoxSmall_06 MediaBoxSmall_02 17226 GP_STARTprotocol_3of3_schedule "20-05-2022 13-15-51" PlateHotel.01_1_3 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17245 GP_15READs_and_incubate_with_schedule "20-05-2022 19-01-07" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17261 GP_TRANSFERprotocol_with_schedule "20-05-2022 19-31-00" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17264 GP_9READs_and_incubate_with_schedule "20-05-2022 23-14-16" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17279 GP_TRANSFERprotocol_with_schedule "20-05-2022 23-44-09" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17282 GP_9READs_and_incubate_with_schedule "21-05-2022 03-29-41" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17297 GP_TRANSFERprotocol_with_schedule "21-05-2022 04-01-40" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17300 GP_9READs_and_incubate_with_schedule "21-05-2022 07-42-27" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17315 GP_TRANSFERprotocol_with_schedule "21-05-2022 08-14-34" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17318 GP_9READs_and_incubate_with_schedule "21-05-2022 12-00-18" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17333 GP_TRANSFERprotocol_with_schedule "21-05-2022 12-32-34" Liconic.01_2_19 Liconic.01_2_19
17226 CultureBoxSmall_06 MediaBoxSmall_02 17336 GP_9READs_and_incubate_with_schedule "21-05-2022 17-12-23" Liconic.01_2_19 Liconic.01_2_19
