	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	date_time	original_file	exp_time	time[h]	time[mins]
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2022-05-20 13:18:16	c_target_real_plate5_initial_20-05-2022 00-00-00_17225_17225.csv	0 days 00:00:00	0.0	0.0
1	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	2022-05-20 18:56:26	c_target_real_20-05-2022 18-56-26_17225_17259.csv	0 days 05:38:10	5.636111111111111	338.1666666666667
2	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0115	0.0	0.0115	2022-05-20 23:07:35	c_target_real_20-05-2022 23-07-35_17225_17277.csv	0 days 09:49:19	9.821944444444444	589.3166666666667
3	0.015148	0.01725	0.013952	0.01725	0.01725	0.01725	0.01725	0.014878	0.01725	0.01725	0.01725	0.01725	0.01725	0.0	0.01725	0.015174	0.01725	0.023	0.014372	0.01725	0.014306	0.0	0.019366	0.01725	0.014681	0.0107	0.01725	0.013235	0.01725	0.017419	0.01725	0.01719	0.016259	0.01725	0.018575	0.01725	0.01725	0.01725	0.016521	0.0	0.014823	0.014273	0.021183	0.0	0.01725	0.020457	0.018177	0.01725	0.01725	0.01725	0.01725	0.016135	0.01586	0.017774	0.01725	0.01725	0.01725	0.017662	0.017935	0.01725	0.01725	0.017308	0.017353	0.01761	0.017496	0.016383	0.01725	0.017072	0.014008	0.01725	0.016069	0.01725	0.018389	0.01725	0.01725	0.013606	0.01725	0.0	0.01725	0.013587	0.01725	0.01725	0.018976	0.014454	0.01725	0.01725	0.01725	0.01725	0.017299	0.023	0.01725	0.018434	0.015487	0.01725	0.0	0.01725	2022-05-21 03:24:54	c_target_real_21-05-2022 03-24-54_17225_17295.csv	0 days 14:06:38	14.110555555555555	846.6333333333333
4	0.016775	0.023073	0.018662	0.023073	0.023073	0.021047	0.022196	0.019901	0.023073	0.023073	0.023073	0.023073	0.021032	0.0	0.020594	0.015782	0.018498	0.027456	0.019224	0.020121	0.019135	0.0	0.025599	0.022884	0.015856	0.010476	0.020821	0.017703	0.021734	0.023299	0.023073	0.01894	0.018184	0.023073	0.024846	0.021844	0.023073	0.020184	0.021165	0.0	0.017137	0.016259	0.026861	0.0	0.022212	0.027363	0.024313	0.023073	0.023073	0.023073	0.019773	0.021582	0.021214	0.020999	0.022837	0.021059	0.021218	0.023624	0.02399	0.023073	0.023073	0.023151	0.023211	0.023555	0.023402	0.021914	0.022738	0.020858	0.018309	0.020964	0.021494	0.023073	0.024597	0.023073	0.023073	0.01443	0.023073	0.0	0.023073	0.016775	0.023073	0.023073	0.025382	0.016693	0.023073	0.023073	0.023073	0.023073	0.023139	0.030232	0.023073	0.024657	0.019556	0.023073	0.0	0.023073	2022-05-21 07:39:55	c_target_real_21-05-2022 07-39-55_17225_17313.csv	0 days 18:21:39	18.360833333333332	1101.65
5	0.017998	0.029123	0.017759	0.02777	0.024559	0.023449	0.023533	0.019967	0.028989	0.027339	0.029846	0.028455	0.024457	0.0	0.024525	0.018165	0.020559	0.033505	0.021373	0.026914	0.024487	0.0	0.028611	0.024688	0.01715	0.010601	0.021613	0.023626	0.025238	0.031164	0.02838	0.020369	0.022079	0.026981	0.025622	0.027314	0.023328	0.020795	0.025103	0.0	0.019744	0.017464	0.031312	0.0	0.02458	0.033225	0.030444	0.030207	0.030408	0.030289	0.023953	0.024813	0.026807	0.023654	0.026994	0.022587	0.024781	0.02603	0.032089	0.030862	0.027616	0.026729	0.028304	0.029766	0.030245	0.029312	0.027788	0.025354	0.019645	0.021045	0.02652	0.03059	0.032901	0.025942	0.026381	0.013642	0.027302	0.0	0.030862	0.022438	0.0256	0.027252	0.027006	0.016941	0.030434	0.029245	0.03023	0.027392	0.028274	0.035165	0.028999	0.032045	0.022256	0.029459	0.0	0.029161	2022-05-21 11:55:16	c_target_real_21-05-2022 11-55-16_17225_17331.csv	0 days 22:37:00	22.616666666666667	1357.0
6	0.019025	0.037574	0.023754	0.033104	0.022654	0.027414	0.024577	0.026708	0.038775	0.036568	0.03358	0.034011	0.032713	0.0	0.032804	0.019032	0.025578	0.044816	0.021626	0.036	0.024491	0.0	0.030103	0.031272	0.019186	0.012208	0.028909	0.029262	0.033758	0.041684	0.037961	0.027245	0.027209	0.036089	0.034272	0.031796	0.025926	0.027815	0.030229	0.0	0.023372	0.019589	0.041882	0.0	0.032878	0.044441	0.036604	0.040147	0.03993	0.040514	0.032039	0.030673	0.035857	0.031639	0.032099	0.030212	0.033147	0.034504	0.042922	0.039691	0.031976	0.031525	0.037813	0.039815	0.037597	0.035737	0.032787	0.033631	0.020759	0.028149	0.034723	0.035488	0.042719	0.034153	0.035287	0.014097	0.036519	0.0	0.04128	0.030013	0.034242	0.035644	0.033607	0.01811	0.035701	0.037337	0.038927	0.032343	0.032967	0.042735	0.038789	0.040264	0.024469	0.039404	0.0	0.031752	2022-05-21 17:09:12	c_target_real_21-05-2022 17-09-12_17225_17354.csv	1 days 03:50:56	27.84888888888889	1670.9333333333334
7	0.020896	0.043455	0.025268	0.035739	0.024766	0.030855	0.026444	0.02862	0.047108	0.039192	0.042076	0.042228	0.043756	0.0	0.038295	0.020586	0.027861	0.051133	0.024585	0.043879	0.030256	0.0	0.034037	0.037675	0.0226	0.013215	0.030912	0.034644	0.043983	0.050265	0.046907	0.033408	0.032058	0.040238	0.039269	0.04253	0.033566	0.029709	0.034413	0.0	0.026559	0.021682	0.047167	0.0	0.036198	0.048028	0.04323	0.046176	0.047361	0.047272	0.034839	0.035131	0.044286	0.037281	0.037315	0.033324	0.038275	0.04303	0.050129	0.045287	0.037733	0.036437	0.043962	0.047156	0.044839	0.041014	0.043855	0.040395	0.020807	0.032555	0.040778	0.043455	0.052704	0.039983	0.041656	0.015351	0.045453	0.0	0.046578	0.03722	0.038494	0.045963	0.040015	0.020648	0.044655	0.044327	0.047915	0.039025	0.038245	0.04925	0.044987	0.044257	0.029236	0.044036	0.0	0.041448	2022-05-21 21:25:16	c_target_real_21-05-2022 21-25-16_17225_17378.csv	1 days 08:07:00	32.11666666666667	1927.0
8	0.020402	0.050943	0.024698	0.039923	0.033127	0.041271	0.034959	0.038282	0.049062	0.0441	0.048843	0.048364	0.048097	0.0	0.039568	0.019514	0.033023	0.049762	0.027141	0.053792	0.031417	0.0	0.037535	0.046778	0.025114	0.014991	0.033389	0.043447	0.054407	0.050201	0.05482	0.039875	0.04288	0.041373	0.039458	0.04483	0.04256	0.027892	0.035261	0.0	0.028804	0.022266	0.050515	0.0	0.039374	0.054159	0.041085	0.047366	0.048162	0.054591	0.037999	0.046991	0.050176	0.039609	0.049912	0.044574	0.051196	0.048123	0.051942	0.046817	0.050471	0.043343	0.046138	0.046592	0.049686	0.046934	0.05213	0.046059	0.019186	0.035312	0.043638	0.043831	0.056542	0.053481	0.049619	0.016567	0.060797	0.0	0.043641	0.044731	0.038127	0.053461	0.053523	0.020743	0.049072	0.046924	0.06409	0.04524	0.044855	0.047186	0.05198	0.044341	0.032687	0.041066	0.0	0.045278	2022-05-22 01:39:45	c_target_real_22-05-2022 01-39-45_17225_17396.csv	1 days 12:21:29	36.35805555555555	2181.483333333333
9	0.023188	0.053345	0.027042	0.045623	0.038536	0.044105	0.042771	0.041872	0.064103	0.044777	0.054014	0.04792	0.05181	0.0	0.045935	0.025684	0.043086	0.058755	0.030358	0.061403	0.034737	0.0	0.045971	0.052442	0.028526	0.016375	0.042448	0.058114	0.063918	0.052448	0.063768	0.053336	0.047433	0.05534	0.040972	0.053252	0.050516	0.029406	0.041421	0.0	0.032006	0.023423	0.056849	0.0	0.04356	0.060378	0.042432	0.063356	0.042522	0.072322	0.045129	0.055704	0.048141	0.05298	0.061591	0.051284	0.063862	0.051648	0.069477	0.055187	0.053769	0.046015	0.043593	0.044515	0.057107	0.051866	0.058358	0.053211	0.019302	0.042438	0.047131	0.053484	0.05654	0.05892	0.056181	0.01756	0.067701	0.0	0.05236	0.050664	0.050998	0.071509	0.059932	0.022027	0.05554	0.062765	0.079718	0.053071	0.053224	0.054279	0.062719	0.049495	0.038506	0.049693	0.0	0.051325	2022-05-22 05:54:34	c_target_real_22-05-2022 05-54-34_17225_17414.csv	1 days 16:36:18	40.605	2436.3
