dilution	bg
0	0.0468
1	0.0467
2	0.0457
3	0.0461
4	0.0456
5	0.0457
6	0.046
7	0.0468
8	0.0465
9	0.0463
10	0.0466
11	0.0468
12	0.0466
13	0.0471
14	0.0461
15	0.0459
16	0.0464
17	0.0468
18	0.0471
19	0.0465
20	0.0474
21	0.0473
22	0.0473
23	0.0474
24	0.0457
25	0.046
26	0.0452
27	0.0449
28	0.0453
29	0.0454
30	0.0453
31	0.0451
32	0.0456
33	0.0462
34	0.045
35	0.0452
36	0.0447
37	0.0447
38	0.0448
39	0.0445
40	0.0447
41	0.0447
42	0.0448
43	0.0447
44	0.044
45	0.0435
46	0.0428
47	0.0427
48	0.044
49	0.0426
50	0.0437
51	0.0447
52	0.0449
53	0.0453
54	0.0455
55	0.0455
56	0.0456
57	0.0454
58	0.0452
59	0.045
60	0.0447
61	0.0463
62	0.0456
63	0.0458
64	0.0463
65	0.046
66	0.0459
67	0.0457
68	0.0459
69	0.0455
70	0.0457
71	0.0457
72	0.0457
73	0.0458
74	0.0458
75	0.0457
76	0.0453
77	0.0445
78	0.0441
79	0.0435
80	0.0435
81	0.0435
82	0.0436
83	0.0432
84	0.0434
85	0.0436
86	0.0433
87	0.0433
88	0.0434
89	0.0432
90	0.0433
91	0.043
92	0.0433
93	0.0434
94	0.0433
95	0.0436
96	0.0436
97	0.0433
98	0.0431
99	0.0425
100	0.0427
101	0.0427
102	0.0428
103	0.0423
104	0.0438
105	0.0448
106	0.0451
107	0.0457
