PlateName TipBox Media_TipBox Order Protocol datetime OldPlateInitialLocation PlateLocation
8968 CultureBoxSmall_08 MediaBoxSmall_02 8968 GP_STARTprotocol_2of3_schedule "21-06-2021 16-21-27" PlateHotel.02_1_2 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9666 GP_14READs_and_incubate_with_schedule "21-06-2021 21-59-39" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9683 GP_TRANSFERprotocol_with_schedule "21-06-2021 22-29-27" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9686 GP_9READs_and_incubate_with_schedule "22-06-2021 02-12-37" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9701 GP_TRANSFERprotocol_with_schedule "22-06-2021 02-42-28" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9704 GP_9READs_and_incubate_with_schedule "22-06-2021 06-25-41" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9719 GP_TRANSFERprotocol_with_schedule "22-06-2021 06-55-36" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9722 GP_9READs_and_incubate_with_schedule "22-06-2021 10-39-19" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9737 GP_TRANSFERprotocol_with_schedule "22-06-2021 11-09-12" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9740 GP_9READs_and_incubate_with_schedule "22-06-2021 14-53-59" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9755 GP_TRANSFERprotocol_with_schedule "22-06-2021 15-26-52" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9758 GP_9READs_and_incubate_with_schedule "22-06-2021 20-15-42" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9781 GP_TRANSFERprotocol_with_schedule "22-06-2021 20-45-34" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9785 GP_9READs_and_incubate_with_schedule "23-06-2021 00-30-43" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9802 GP_TRANSFERprotocol_with_schedule "23-06-2021 01-00-32" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9805 GP_9READs_and_incubate_with_schedule "23-06-2021 04-45-42" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9820 GP_TRANSFERprotocol_with_schedule "23-06-2021 05-15-34" Liconic.01_2_21 Liconic.01_2_21
8968 CultureBoxSmall_08 MediaBoxSmall_02 9823 GP_9READs_and_incubate_with_schedule "23-06-2021 09-00-45" Liconic.01_2_21 Liconic.01_2_21
