	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	date_time	original_file	exp_time	time[h]	time[mins]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2021-06-21 13:09:25	c_target_real_plate2_initial_21-06-2021 00-00-00_8962_8962.csv	0 days 00:00:00	0	0
1	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0.3	0.3	0.3	0.3	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0.3	0.3	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0.3	2021-06-21 19:33:13	c_target_real_21-06-2021 19-33-13_8962_9671.csv	0 days 06:23:48	6.39666666666667	383.8
2	0.42	0.41	0.39	0.43	0.41	0.42	0.4	0.38	0.42	0.44	0.42	0.4	0.42	0.47	0.39	0.41	0.38	0.4	0.41	0.42	0	0.43	0.4	0.4	0.44	0	0.39	0.44	0.41	0.39	0.42	0.36	0.39	0.39	0.39	0.37	0.39	0.43	0.39	0	0.39	0.36	0	0.37	0.43	0.4	0.38	0.43	0.42	0.35	0.35	0.4	0.41	0.4	0.41	0.39	0.33	0.43	0.43	0.42	0.4	0.41	0.42	0.39	0.39	0.44	0.44	0.43	0.4	0.44	0.41	0.36	0.41	0.41	0.42	0.42	0.42	0.36	0.41	0	0.45	0.4	0.43	0.46	0.39	0.41	0.41	0.4	0.32	0.41	0.45	0.42	0.43	0.42	0	0.42	2021-06-21 23:52:02	c_target_real_21-06-2021 23-52-02_8962_9690.csv	0 days 10:42:37	10.7102777777778	642.616666666667
3	0.61	0.55	0.54	0.62	0.59	0.57	0.59	0.56	0.6	0.6	0.59	0.53	0.6	0.73	0.52	0.59	0.51	0.56	0.58	0.57	0	0.7	0.56	0.56	0.61	0	0.55	0.66	0.55	0.55	0.62	0.47	0.54	0.56	0.55	0.53	0.52	0.6	0.52	0	0.53	0.47	0	0.52	0.61	0.57	0.51	0.59	0.59	0.42	0.41	0.53	0.56	0.56	0.55	0.53	0.36	0.63	0.61	0.58	0.53	0.54	0.58	0.53	0.54	0.61	0.65	0.61	0.54	0.64	0.59	0.46	0.56	0.58	0.6	0.65	0.6	0.43	0.55	0	0.66	0.54	0.58	0.68	0.5	0.55	0.58	0.55	0.22	0.58	0.63	0.57	0.62	0.58	0	0.57	2021-06-22 04:05:10	c_target_real_22-06-2021 04-05-10_8962_9708.csv	0 days 14:55:45	14.9291666666667	895.75
4	0.9	0.74	0.77	0.87	0.83	0.76	0.82	0.77	0.88	0.81	0.82	0.69	0.86	1.16	0.71	0.83	0.69	0.78	0.8	0.75	0	1.02	0.72	0.74	0.83	0	0.76	0.93	0.74	0.75	0.91	0.6	0.73	0.77	0.75	0.78	0.69	0.81	0.72	0	0.71	0.59	0	0.73	0.88	0.78	0.67	0.8	0.83	0.48	0.48	0.69	0.75	0.78	0.73	0.73	0.39	0.88	0.86	0.77	0.65	0.69	0.79	0.68	0.76	0.84	0.97	0.83	0.72	0.9	0.85	0.63	0.75	0.8	0.8	0.93	0.83	0.52	0.73	0	0.93	0.72	0.79	0.96	0.64	0.7	0.79	0.75	0.15	0.8	0.86	0.79	0.88	0.81	0	0.77	2021-06-22 08:18:18	c_target_real_22-06-2021 08-18-18_8962_9726.csv	0 days 19:08:53	19.1480555555556	1148.88333333333
5	1.36	0.99	1.07	1.23	1.18	1.02	1.13	1.02	1.29	1.1	1.13	0.89	1.2	1.73	0.95	1.13	0.93	1.07	1.09	1	0	1.43	0.89	0.98	1.14	0	1	1.3	1.02	1	1.31	0.75	0.96	1.03	1.01	1.12	0.93	1.05	0.97	0	0.97	0.74	0	0.94	1.21	1.09	0.9	1.07	1.13	0.55	0.55	0.9	1.01	1.1	1.02	0.97	0.42	1.23	1.22	1.01	0.85	0.88	1.08	0.88	1.05	1.15	1.45	1.1	0.97	1.3	1.21	0.85	1.02	1.08	1.08	1.32	1.19	0.64	0.94	0	1.3	0.97	1.07	1.39	0.82	0.95	1.09	1	0.1	1.09	1.19	1.1	1.25	1.11	0	1.01	2021-06-22 12:33:15	c_target_real_22-06-2021 12-33-15_8962_9743.csv	0 days 23:23:50	23.3972222222222	1403.83333333333
6	1.8	1.06	1.23	1.51	1.41	1.06	1.36	1.21	1.61	1.35	1.38	0.99	1.49	2.23	1.11	1.25	0.89	1.32	1.34	0.93	0	1.85	0.9	1.19	1.4	0	1.21	1.68	1.22	1.08	1.64	0.82	1.13	1.25	1.2	1.34	1.13	1.32	1	0	1.12	0.86	0	1.07	1.48	1.34	1.08	1.28	1.44	0.6	0.62	1.02	1.21	1.29	1.24	1.12	0.46	1.53	1.53	1.22	1.02	1.03	1.35	0.75	1.28	1.42	1.87	1.33	1.17	1.62	1.54	1.11	1.25	1.35	1.22	1.53	1.49	0.73	1.13	0	1.61	1.16	1.33	1.8	0.86	1.16	1.32	1.15	0.3	1.3	1.48	1.36	1.59	1.36	0	1.21	2021-06-22 17:49:09	c_target_real_22-06-2021 17-49-09_8962_9763.csv	1 days 04:39:44	28.6622222222222	1719.73333333333
7	2.55	1.35	1.63	2.22	1.94	1.42	1.78	1.55	2.18	1.94	1.9	1.28	2.04	3.06	1.55	1.7	1.16	1.76	1.75	1.22	0	2.49	1.15	1.52	2.08	0	1.54	2.29	1.7	1.41	2.27	1.06	1.45	1.67	1.58	1.67	1.51	1.92	1.32	0	1.43	1.06	0	1.36	2.02	1.8	1.46	1.73	1.98	0.69	0.72	1.28	1.65	1.77	1.71	1.4	0.52	2.06	2.09	1.57	1.42	1.41	2.04	0.99	1.74	2.09	2.71	1.85	1.56	2.22	2.07	1.55	1.76	1.85	1.66	2.03	2.16	0.93	1.57	0	2.36	1.51	1.92	2.57	1.07	1.58	1.78	1.5	0.21	1.82	2.13	1.83	2.11	1.91	0	1.65	2021-06-22 22:04:19	c_target_real_22-06-2021 22-04-19_8962_9790.csv	1 days 08:54:54	32.915	1974.9
8	3.33	1.69	2.12	2.98	2.56	1.88	2.23	1.89	2.78	2.6	2.46	1.64	2.67	3.87	2.02	2.19	1.52	2.28	2.22	1.6	0	3.21	1.38	1.9	2.95	0	1.91	3.05	2.2	1.82	3.1	1.36	1.89	2.19	2.06	2.03	2	2.66	1.76	0	1.81	1.25	0	1.77	2.61	2.41	1.9	2.19	2.61	0.76	0.85	1.57	2.1	2.34	2.31	1.74	0.56	2.65	2.72	2.02	1.96	1.84	2.82	1.3	2.36	2.82	3.6	2.5	1.94	2.84	2.66	2.06	2.42	2.46	2.16	2.7	2.95	1.18	2.08	0	3.12	1.96	2.67	3.36	1.37	2.07	2.35	1.85	0.15	2.46	2.97	2.36	2.67	2.47	0	2.16	2021-06-23 02:19:20	c_target_real_23-06-2021 02-19-20_8962_9808.csv	1 days 13:09:55	37.1652777777778	2229.91666666667
9	3.75	1.95	2.55	3.59	3.25	2.4	2.64	2.08	3.33	3.26	2.97	2.07	3.15	4.27	2.5	2.75	2.02	2.83	2.71	1.95	0	3.72	1.57	2.2	3.88	0	2.22	3.92	2.77	2.34	3.77	1.7	2.14	2.7	2.53	2.39	2.55	3.45	2.18	0	2.3	1.4	0	2.22	3.23	3.02	2.37	2.67	3.18	0.82	0.96	1.91	2.62	3.06	2.96	2.1	0.64	3.19	3.28	2.55	2.67	2.31	3.57	1.71	3.21	3.55	4.25	3.14	2.29	3.46	3.27	2.58	3.09	3.12	2.65	3.44	3.69	1.48	2.7	0	3.85	2.38	3.41	3.99	1.68	2.61	2.96	2.29	0.06	3.04	3.78	2.77	3.22	3.02	0	2.71	2021-06-23 06:34:20	c_target_real_23-06-2021 06-34-20_8962_9826.csv	1 days 17:24:55	41.4152777777778	2484.91666666667
