	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	date_time	original_file	exp_time	time[h]	time[mins]
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2021-08-12 12:47:35	c_target_real_plate2_initial_12-08-2021 00-00-00_11642_11642.csv	0 days 00:00:00	0.0	0.0
1	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.0	0.025	0.025	0.025	0.025	0.0	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.0	0.025	0.025	0.0	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.0	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.0	0.025	2021-08-12 19:01:28	c_target_real_12-08-2021 19-01-28_11642_11664.csv	0 days 06:13:53	6.231388888888889	373.8833333333333
2	0.125	0.068	0.074	0.038	0.068	0.038	0.125	0.125	0.125	0.038	0.038	0.125	0.119	0.038	0.125	0.125	0.082	0.125	0.125	0.125	0.0	0.125	0.051	0.073	0.038	0.0	0.125	0.038	0.038	0.108	0.038	0.125	0.099	0.088	0.1	0.046	0.125	0.125	0.107	0.0	0.125	0.081	0.0	0.125	0.038	0.122	0.115	0.038	0.125	0.049	0.036	0.125	0.125	0.125	0.125	0.119	0.042	0.038	0.038	0.125	0.125	0.038	0.038	0.125	0.125	0.125	0.038	0.038	0.125	0.038	0.125	0.049	0.125	0.125	0.125	0.125	0.038	0.125	0.038	0.0	0.038	0.038	0.038	0.038	0.092	0.125	0.038	0.125	0.063	0.038	0.038	0.125	0.038	0.038	0.0	0.038	2021-08-12 23:16:28	c_target_real_12-08-2021 23-16-28_11642_11682.csv	0 days 10:28:53	10.481388888888889	628.8833333333333
3	0.251	0.105	0.233	0.163	0.264	0.19	0.245	0.211	0.304	0.048	0.064	0.236	0.108	0.123	0.317	0.347	0.199	0.32	0.332	0.332	0.0	0.422	0.079	0.093	0.141	0.0	0.292	0.19	0.102	0.117	0.128	0.181	0.221	0.315	0.233	0.176	0.428	0.383	0.141	0.0	0.396	0.209	0.0	0.226	0.071	0.41	0.256	0.19	0.256	0.088	0.041	0.165	0.497	0.625	0.278	0.119	0.068	0.19	0.19	0.528	0.256	0.166	0.125	0.559	0.264	0.372	0.19	0.19	0.136	0.145	0.536	0.097	0.184	0.31	0.271	0.248	0.076	0.395	0.19	0.0	0.161	0.19	0.19	0.19	0.137	0.449	0.19	0.625	0.085	0.115	0.19	0.154	0.19	0.15	0.0	0.19	2021-08-13 03:31:38	c_target_real_13-08-2021 03-31-38_11642_11700.csv	0 days 14:44:03	14.734166666666667	884.05
4	0.277	0.102	0.441	0.396	0.374	0.431	0.183	0.164	0.285	0.24	0.179	0.278	0.076	0.255	0.265	0.43	0.273	0.213	0.275	0.305	0.0	0.352	0.084	0.103	0.26	0.0	0.328	0.348	0.177	0.188	0.309	0.278	0.229	0.395	0.218	0.141	0.374	0.393	0.208	0.0	0.397	0.289	0.0	0.22	0.126	0.339	0.238	0.415	0.258	0.098	0.057	0.083	0.334	0.409	0.281	0.066	0.097	0.248	0.332	0.203	0.247	0.444	0.28	0.4	0.212	0.324	0.536	0.651	0.062	0.389	0.384	0.208	0.184	0.214	0.182	0.207	0.18	0.693	0.62	0.0	0.466	0.479	0.409	0.454	0.293	0.388	0.643	0.392	0.11	0.359	0.823	0.099	0.503	0.294	0.0	0.362	2021-08-13 07:47:28	c_target_real_13-08-2021 07-47-28_11642_11718.csv	0 days 18:59:53	18.998055555555556	1139.8833333333334
5	0.14	0.034	0.191	0.194	0.206	0.196	0.171	0.126	0.182	0.419	0.248	0.273	0.029	0.154	0.118	0.265	0.216	0.128	0.158	0.224	0.0	0.18	0.05	0.12	0.228	0.0	0.221	0.203	0.187	0.138	0.297	0.363	0.193	0.178	0.121	0.172	0.107	0.179	0.183	0.0	0.278	0.343	0.0	0.219	0.13	0.156	0.21	0.241	0.243	0.065	0.058	0.03	0.104	0.204	0.225	0.043	0.164	0.205	0.19	0.113	0.136	0.219	0.244	0.182	0.152	0.187	0.268	0.339	0.035	0.352	0.175	0.294	0.179	0.143	0.073	0.159	0.36	0.349	0.38	0.0	0.325	0.272	0.252	0.255	0.206	0.146	0.378	0.196	0.108	0.326	0.414	0.056	0.277	0.192	0.0	0.192	2021-08-13 12:03:16	c_target_real_13-08-2021 12-03-16_11642_11736.csv	0 days 23:15:41	23.261388888888888	1395.6833333333334
6	0.102	0.065	0.091	0.096	0.114	0.092	0.121	0.063	0.094	0.166	0.152	0.181	0.003	0.104	0.101	0.172	0.152	0.141	0.078	0.19	0.0	0.089	0.011	0.111	0.254	0.0	0.174	0.103	0.167	0.06	0.19	0.327	0.156	0.066	0.085	0.107	0.065	0.1	0.168	0.0	0.195	0.341	0.0	0.177	0.116	0.079	0.187	0.111	0.256	0.056	0.052	0.005	0.081	0.116	0.16	0.04	0.265	0.16	0.115	0.046	0.097	0.112	0.199	0.079	0.173	0.153	0.112	0.121	0.049	0.173	0.093	0.242	0.201	0.107	0.046	0.135	0.447	0.149	0.181	0.0	0.153	0.134	0.159	0.093	0.082	0.162	0.164	0.061	0.148	0.181	0.218	0.036	0.106	0.108	0.0	0.107	2021-08-13 16:16:23	c_target_real_13-08-2021 16-16-23_11642_11755.csv	1 days 03:28:48	27.48	1648.8
7	0.355	0.108	0.106	0.059	0.106	0.073	0.112	0.095	0.141	0.104	0.146	0.155	8.475e-05	0.134	0.132	0.173	0.104	0.206	0.106	0.228	0.0	0.134	0.0004543	0.092	0.206	0.0	0.162	0.098	0.186	0.019	0.111	0.277	0.152	0.087	0.021	0.141	0.073	0.111	0.176	0.0	0.137	0.296	0.0	0.151	0.093	0.093	0.215	0.083	0.25	0.055	0.049	0.00017425	0.169	0.113	0.115	0.057	0.247	0.202	0.124	0.044	0.083	0.088	0.131	0.093	0.208	0.143	0.06	0.078	0.1	0.15	0.15	0.187	0.238	0.155	0.043	0.117	0.314	0.116	0.079	0.0	0.113	0.133	0.15	0.083	0.067	0.295	0.095	0.052	0.118	0.144	0.153	0.033	0.092	0.079	0.0	0.095	2021-08-13 21:16:36	c_target_real_13-08-2021 21-16-36_11642_11782.csv	1 days 08:29:01	32.48361111111111	1949.0166666666667
8	0.333	0.069	0.201	0.072	0.119	0.112	0.138	0.156	0.229	0.099	0.145	0.175	0.025	0.155	0.147	0.221	0.116	0.244	0.188	0.291	0.0	0.224	0.025	0.174	0.173	0.0	0.183	0.093	0.148	0.024	0.103	0.234	0.155	0.135	0.032	0.102	0.148	0.176	0.204	0.0	0.096	0.246	0.0	0.144	0.094	0.162	0.221	0.109	0.245	0.057	0.053	0.025	0.299	0.152	0.134	0.063	0.17	0.196	0.149	0.144	0.067	0.08	0.13	0.138	0.197	0.118	0.064	0.113	0.105	0.147	0.212	0.186	0.219	0.184	0.093	0.106	0.216	0.221	0.075	0.0	0.113	0.145	0.13	0.117	0.125	0.372	0.111	0.083	0.111	0.14	0.069	0.057	0.135	0.079	0.0	0.133	2021-08-14 01:32:14	c_target_real_14-08-2021 01-32-14_11642_11800.csv	1 days 12:44:39	36.744166666666665	2204.65
9	0.156	0.053	0.453	0.203	0.147	0.208	0.207	0.219	0.246	0.143	0.179	0.179	0.116	0.162	0.171	0.333	0.177	0.256	0.238	0.401	0.0	0.246	0.056	0.343	0.24	0.0	0.204	0.151	0.153	0.12	0.115	0.236	0.19	0.207	0.106	0.085	0.162	0.224	0.207	0.0	0.19	0.218	0.0	0.18	0.099	0.233	0.223	0.137	0.285	0.071	0.048	0.105	0.272	0.266	0.22	0.069	0.115	0.247	0.185	0.309	0.111	0.123	0.125	0.18	0.211	0.236	0.131	0.237	0.05	0.157	0.175	0.211	0.196	0.16	0.172	0.111	0.206	0.453	0.186	0.0	0.2	0.203	0.175	0.198	0.285	0.549	0.224	0.202	0.117	0.201	0.109	0.126	0.22	0.115	0.0	0.189	2021-08-14 05:47:51	c_target_real_14-08-2021 05-47-51_11642_11818.csv	1 days 17:00:16	41.004444444444445	2460.266666666667
