dilution	bg
0	0.0452
1	0.0445
2	0.0438
3	0.0439
4	0.0438
5	0.0433
6	0.0436
7	0.0436
8	0.0444
9	0.0435
10	0.0431
11	0.0443
12	0.0432
13	0.0439
14	0.0433
15	0.0436
16	0.043
17	0.0444
18	0.0431
19	0.0431
20	0.0436
21	0.0432
22	0.0431
23	0.044
24	0.0434
25	0.0431
26	0.0436
27	0.0431
28	0.044
29	0.0441
30	0.0446
31	0.0447
32	0.0448
33	0.0465
34	0.0454
35	0.0443
36	0.0445
37	0.0442
38	0.0448
39	0.045
40	0.0448
41	0.0446
42	0.0446
43	0.0447
44	0.0452
45	0.0453
46	0.0447
47	0.0449
48	0.0456
49	0.0449
50	0.0444
51	0.045
52	0.0443
53	0.0444
54	0.045
55	0.0447
56	0.0447
57	0.0443
58	0.0446
59	0.0446
60	0.0444
61	0.0447
62	0.0448
63	0.0447
64	0.0447
65	0.0448
66	0.0449
67	0.0448
68	0.0445
69	0.0446
70	0.0442
71	0.0443
72	0.0445
73	0.0446
74	0.0445
75	0.0444
76	0.0449
77	0.0451
78	0.0449
79	0.0445
80	0.0446
81	0.0442
82	0.0447
83	0.0447
84	0.0441
85	0.0446
86	0.0456
87	0.0452
88	0.0454
89	0.0455
90	0.0455
91	0.0451
92	0.0452
93	0.0447
94	0.0451
95	0.0446
96	0.0458
97	0.0442
98	0.0451
99	0.0447
100	0.0447
101	0.0441
102	0.0442
103	0.0453
104	0.0461
105	0.0461
106	0.0465
107	0.0467
108	0.0465
109	0.047
110	0.0465
111	0.0466
112	0.0467
113	0.0467
114	0.0469
115	0.0466
116	0.0461
117	0.0461
118	0.0463
119	0.0478
120	0.0466
121	0.0466
122	0.0467
123	0.0468
124	0.0467
125	0.0465
126	0.0463
127	0.0465
128	0.0464
