strain,gene-deletion
s1,fruR
s2,rcsC
s3,sdhB
s4,hupA
s5,ihfA
s6,crp
s7,ihfB
s8,torR
s9,nuoB
s10,maeB
s11,atoC
s12,evgS
s13,yedV
s14,moaA
s15,cpxR
s16,ppk
s17,fhuA
s18,pepN
s19,fiu
s20,ldcA
s21,pepT
s22,dbpA
s23,pgpB
s24,pal
s25,potH
s26,hepA
s27,cirA
s28,lon
s29,ptrB
s30,yfbW
s31,ygbT
s32,rsxG
s33,yciS
s34,yedK
s35,ycbC
s36,ygdD
s37,clpS
s38,ybdK
s39,abgR
s40,ddpX
s41,yfgF
s42,yfiC
s43,yfaO
s44,ycjG
s45,yfiQ
s46,ybaD
s47,arnT
s48,yegS
s49,yniC
s50,ygbJ
s51,yeaI
s52,ydeE
s53,mprA
s54,wcaJ
s55,yohM
s56,yfhL
s57,yfiE
s58,ybaS
s59,asmA
s60,csdA
s61,uvrD
s62,sufC
s63,pepP
s64,ydjG
s65,nfsA
s66,hscC
s67,erfK
s68,lsrC
s69,hfq
s70,ylbE
s71,yobG
s72,yggX
s73,ygfY
s74,xdhB
s75,kdsC
s76,dusB
s77,mdtF
s78,gadX
s79,gntY
s80,yiaH
s81,yiaO
s82,mdtE
s83,hsdS
s84,holC
s85,topB
s86,recR
lacA,lacA
