"strain","gene-deletion"
"s1","alkB"
"s2","setA"
"s3","umuC"
"s4","uvrA"
"s5","ytfM"
"s6","kefC"
"s7","mutL"
"s8","thrB"
"s9","metA"
"s10","cysE"
"s11","menC"
"s12","ppiD"
"s13","ccmB"
"s14","phoE"
"s15","slt"
"s16","gshB"
"s17","rfaH"
"s18","minC"
"s19","dnaJ"
"s20","motB"
"s21","ahpC"
"s22","rfaP"
"s23","spr"
"s24","lpxM"
"s25","htpG"
"s26","rfaF"
"s27","cedA"
"s28","rfaD"
"s29","oppF"
"s30","ycjU"
"s31","pldB"
"s32","galE"
"s33","uvrB"
"s34","atoB"
"s35","galU"
"s36","rsxD"
"s37","ftn"
"s38","manX"
"s39","sapD"
"s40","chaA"
"s41","sra"
"s42","cysA"
"s43","uvrC"
"s44","rob"
"s45","lysS"
"s46","rng"
"s47","ssuD"
"s48","ampG"
"s49","smpA"
"s50","alaS"
"s51","tatC"
"s52","recG"
"s53","rfaE"
"s54","hcp"
"s55","rph"
"s56","chaC"
"s57","yobH"
"s58","yddA"
"s59","tolB"
"s60","nmpC"
"s61","kdgT"
"s62","yrdD"
"s63","atpI"
"s64","yjfF"
"s65","yaeI"
"s66","ulaA"
"s67","kdpE"
"s68","yajI"
"s69","marR"
"s70","glyS"
"s71","sseA"
"s72","recO"
"s73","ycdR"
"s74","recN"
"s75","ydfJ"
"s76","recF"
"s77","ndh"
"s78","fdnH"
"s79","astC"
"s80","acrR"
"s81","ycfS"
"s82","rseA"
"s83","atpD"
"s84","lpxL"
"s85","rpoD"
"s86","tolQ"
"lacA","lacA"
